qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
48,12.0,2.0,81,0,2,2.0,7.0,2,4,4,3,3.0,5,5,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,6961.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
48,40.0,1.0,56,1,3,3.0,7.0,4,4,4,4,4.0,2,2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,231126.0,1553.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
47,12.0,1.0,67,1,2,3.0,8.0,4,4,4,4,3.0,2,6,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,141415.0,1436.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
49,0.0,1.0,71,0,1,1.0,4.0,3,3,3,3,1.0,7,7,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,116892.0,11.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
51,3.0,1.0,61,0,2,1.0,8.0,4,4,4,4,1.0,5,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,1154133.0,1596.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
47,10.0,4.0,47,1,3,2.0,8.0,1,2,3,4,3.0,4,6,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1125.0,9.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
40,4.0,1.0,75,1,1,3.0,9.0,4,3,4,4,4.0,6,4,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,1992.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
40,15.0,1.0,29,0,4,3.0,6.0,3,1,1,1,1.0,4,4,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2013.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
46,0.0,2.0,61,1,1,3.0,2.0,1,2,3,1,4.0,7,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,122890.0,1336.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
39,100.0,1.0,51,1,5,2.0,8.0,3,3,3,3,3.0,7,5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,22346.0,135.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
43,0.0,1.0,64,1,2,2.0,2.0,1,1,3,3,1.0,7,7,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,75340.0,1021.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
42,1.0,2.0,46,1,1,2.0,7.0,4,4,4,4,2.0,4,4,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,66456.0,449.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
